index,nlipktrlsm,tahuntrlsm,kdjektrlsm,jalur,llsketrlsm,toefltrlsm,kursitrlsm,jcutitrlsm,stwsdtrlsm,nmpstmspst,preditrlsm,tepat_waktu
3037,2.0,2012.0,1,4,6360.0,400.0,86.0,0.0,0.0,1,4,True
2063,2.0,2011.0,2,2,6100.0,400.0,45.0,0.0,0.0,3,4,False
2382,2.0,2009.0,2,0,4923.0,400.0,77.0,0.0,0.0,6,4,True
2770,2.0,2008.0,1,0,5307.0,420.0,77.0,0.0,0.0,1,4,False
3259,1.0,2008.0,2,0,6047.0,400.0,152.125,0.0,0.0,5,4,False
1627,3.0,2014.0,2,4,7784.0,400.0,37.0,0.0,0.0,1,2,True
2702,2.0,2009.0,2,0,5232.0,410.0,77.0,0.0,0.0,6,4,False
949,3.0,2012.0,2,2,6862.0,470.0,19.0,0.0,0.0,3,2,False
1047,2.0,2014.0,2,1,7921.0,420.0,67.0,0.0,0.0,6,4,True
1227,2.0,2011.0,2,1,8101.0,410.0,152.125,0.0,0.0,5,4,False
3322,2.0,2014.0,2,2,8182.0,450.0,77.0,0.0,0.0,3,4,False
2144,2.0,2011.0,2,1,6181.0,420.0,110.0,0.0,0.0,5,4,False
2116,2.0,2011.0,1,1,6153.0,400.0,87.0,0.0,0.0,4,4,False
307,2.0,2012.0,1,0,4685.0,460.0,77.0,0.0,0.0,5,4,False
1562,2.0,2014.0,2,1,7737.0,420.0,92.0,0.0,0.0,6,4,True
969,1.0,2010.0,1,4,6882.0,403.0,106.0,0.0,0.0,1,4,False
2041,2.0,2011.0,2,1,6078.0,407.0,37.0,0.0,0.0,6,4,False
2482,2.0,2010.0,2,1,5559.0,400.0,19.0,0.0,0.0,6,4,False
2742,2.0,2010.0,1,3,5265.0,403.0,77.0,0.0,0.0,2,4,True
1561,3.0,2014.0,2,1,7736.0,420.0,11.0,0.0,0.0,6,2,True
2112,2.0,2011.0,1,1,6149.0,487.0,98.0,0.0,0.0,4,4,False
3382,2.0,2014.0,2,1,8242.0,473.0,152.125,0.0,0.0,4,4,False
1573,3.0,2014.0,2,1,7748.0,440.0,14.0,0.0,0.0,6,2,True
1766,1.0,2013.0,2,3,7825.0,423.0,121.0,0.0,0.0,2,4,False
2176,1.0,2010.0,1,3,5781.0,407.0,68.0,0.0,0.0,2,4,False
3012,3.0,2012.0,2,3,6332.0,490.0,32.0,0.0,0.0,2,2,True
2542,2.0,2009.0,2,0,5621.0,440.0,85.0,0.0,0.0,5,4,False
487,2.0,2011.0,2,3,7160.0,470.0,77.0,0.0,0.0,2,4,False
2508,2.0,2010.0,1,4,5582.0,403.0,48.0,0.0,0.0,1,4,False
246,3.0,2012.0,2,0,4624.0,423.0,77.0,0.0,0.0,2,2,False
43,1.0,2011.0,2,3,6239.0,400.0,73.0,0.0,0.0,2,4,False
1302,2.0,2012.0,2,3,6489.0,467.0,86.0,0.0,0.0,2,4,True
850,2.0,2012.0,2,4,7026.0,400.0,116.0,0.0,0.0,1,4,False
2855,3.0,2014.0,2,1,7589.0,473.0,9.0,0.0,0.0,6,2,True
1006,3.0,2011.0,1,1,6919.0,437.0,113.0,0.0,0.0,5,4,False
489,2.0,2013.0,2,3,7162.0,423.0,77.0,0.0,0.0,2,4,True
3511,3.0,2012.0,2,4,5459.0,427.0,138.0,0.0,0.0,1,4,True
1915,3.0,2012.0,2,0,4404.0,400.0,77.0,0.0,0.0,4,2,True
2100,3.0,2011.0,2,1,6136.0,420.0,3.125,0.0,0.0,4,2,False
3232,3.0,2011.0,2,1,6002.0,417.0,50.0,0.0,0.0,4,2,False
741,3.0,2015.0,2,4,8324.0,433.0,23.0,0.0,0.0,1,2,True
964,3.0,2013.0,2,3,6877.0,450.0,20.0,0.0,0.0,2,2,True
1541,2.0,2009.0,2,0,5079.0,413.0,77.0,0.0,0.0,4,4,False
2625,2.0,2012.0,2,0,4488.0,423.0,77.0,0.0,0.0,2,4,True
3385,2.0,2013.0,1,1,8245.0,430.0,77.0,0.0,0.0,5,4,False
2298,2.0,2012.0,2,2,6740.0,400.0,62.0,0.0,0.0,3,4,False
3846,3.0,2015.0,2,2,8417.0,450.0,24.0,0.0,0.0,3,2,True
3638,1.0,2012.0,1,0,4741.0,407.0,77.0,0.0,0.0,2,4,False
398,2.0,2008.0,2,0,5197.0,413.0,77.0,0.0,0.0,4,4,False
2895,2.0,2012.0,2,3,7629.0,450.0,99.0,0.0,0.0,2,4,False
1247,2.0,2012.0,2,1,6435.0,400.0,12.0,0.0,0.0,6,4,True
1059,3.0,2013.0,2,2,7933.0,400.0,22.0,0.0,0.0,3,2,False
2258,2.0,2012.0,2,1,6700.0,400.0,49.0,0.0,0.0,6,4,False
477,3.0,2013.0,2,2,7150.0,460.0,77.0,0.0,0.0,3,2,True
1904,1.0,2012.0,1,0,4393.0,400.0,77.0,0.0,0.0,1,4,False
3097,2.0,2011.0,2,1,5867.0,400.0,76.0,0.0,0.0,6,4,True
2657,3.0,2012.0,1,1,4521.0,335.5,77.0,0.0,0.0,1,4,True
615,3.0,2013.0,2,1,7288.0,450.0,77.0,0.0,0.0,4,2,True
3901,2.0,2015.0,2,1,8473.0,400.0,152.125,0.0,0.0,4,4,True
3604,1.0,2012.0,1,0,4710.0,400.0,77.0,0.0,0.0,3,4,False
1880,1.0,2012.0,1,6,4369.0,400.0,77.0,0.0,0.0,6,4,False
3485,2.0,2009.0,1,0,5439.0,463.0,119.0,0.0,0.0,1,4,False
824,1.0,2012.0,2,2,7000.0,483.0,100.0,0.0,0.0,3,4,False
321,1.0,2009.0,2,0,5127.0,400.0,77.0,0.0,0.0,6,4,False
2858,3.0,2014.0,2,1,7592.0,437.0,11.0,0.0,0.0,6,2,True
2772,3.0,2010.0,2,4,5292.0,407.0,77.0,0.0,0.0,1,2,True
679,2.0,2012.0,1,1,7352.0,427.0,77.0,0.0,0.0,5,4,False
1878,1.0,2012.0,1,6,4367.0,480.0,77.0,0.0,0.0,6,4,False
1673,2.0,2012.0,2,1,7848.0,483.0,149.0,0.0,0.0,4,4,False
3380,2.0,2014.0,1,1,8240.0,470.0,152.125,0.0,0.0,4,4,False
3146,2.0,2011.0,2,3,5912.0,400.0,106.0,0.0,0.0,2,4,True
794,3.0,2013.0,2,1,6970.0,400.0,60.0,0.0,0.0,6,4,True
